R0, Sln1_ap+_Sln1_[(Site)]
R1, Sln1_[(Site)]_pt_Ypd1_[(H64)]
R2, Ypd1_[(H64)]_pt_Ssk1_[(D544)]
R3, Ssk1_[RR]_ppi+_Ssk2_[ssk1]
R4, Ssk1_[RR]_ppi-_Ssk2_[ssk1]
R5, Ssk2_p+_Pbs2_[(Ssk2Site)]
R6, Pbs2_p+_Hog1_[(Pbs2Site)]
R7, Hog1_p+_Hot1_[(Hog1Site)]
R8, PPT_p-_Ssk1_[(D544)]
R9, PPT_p-_Pbs2_[(Ssk2Site)]
R10, PPT_p-_Hog1_[(Pbs2Site)]
R11, PPT_p-_Hot1_[(Hog1Site)]
S0, Sln1_[(Site)]-{p}
S1, Sln1_[(Site)]-{0}
S2, Ypd1_[(H64)]-{p}
S3, Ypd1_[(H64)]-{0}
S4, Ssk1_[RR]--Ssk2_[ssk1]
S5, Ssk1_[RR]--0
S6, Ssk1_[(D544)]-{p}
S7, Ssk1_[(D544)]-{0}
S8, Ssk2_[ssk1]--0
S9, Pbs2_[(Ssk2Site)]-{p}
S10, Pbs2_[(Ssk2Site)]-{0}
S11, Hog1_[(Pbs2Site)]-{0}
S12, Hog1_[(Pbs2Site)]-{p}
S13, Hot1_[(Hog1Site)]-{0}
S14, Hot1_[(Hog1Site)]-{p}
S15, PPT
